Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Labor force, total",SL.TLF.TOTL.IN,Viet Nam,VNM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31535246,32361936,33159754,33984777,34817200,35653948,36510115,37057215,37750499,38422749,38826147,40543786,41128744,41765881,42519336,43520650,44786203,46298960,47896567,49267257,50302354,51197726,51916391,53209344,53885546,54628714,54888312,55533898,56235855,56179394,55149609,55268413,56473899,56799003
"Labor force, total",SL.TLF.TOTL.IN,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48420,52109,53625,54223,54700,51480,48426,48142,47905,47018,48131,50350,49875,49034,50895,52057,52651,53487,53588,53743,52285,52982,52085,49212,48643,50829,50806,51811,48542,46389,46759,47357,47730,47588
"Labor force, total",SL.TLF.TOTL.IN,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,414292,432723,449942,470534,492546,514880,542843,564049,574488,589641,618184,581078,589186,658607,673177,705921,732368,785554,805777,839676,879814,940188,977472,1010156,1047752,1124303,1149280,1181552,1198168,1254446,1193390,1301690,1391230,..
"Labor force, total",SL.TLF.TOTL.IN,"Yemen, Rep.",YEM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3010930,3118467,3230703,3354882,3484375,3655298,3833883,4018432,4213205,4420595,4519390,4622334,4728950,4840323,4959009,5102583,5269013,5442713,5624158,5811858,6001445,6114378,6230735,6349911,6474957,5811186,6046576,6282112,6509397,6738936,6888780,7058172,7380030,7630735
"Labor force, total",SL.TLF.TOTL.IN,Zambia,ZMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2409869,2473064,2535730,2598449,2661533,2725746,2792408,2865219,2942919,3025194,3115921,3219966,3329681,3442960,3561850,3689000,3826396,3972275,4125860,4284359,4445264,4604771,4766532,4934403,5109638,5290290,5477857,5672379,5870985,6199667,6574250,6730316,6905885,7147630
"Labor force, total",SL.TLF.TOTL.IN,Zimbabwe,ZWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3606782,3730142,3827198,3868412,3897011,3971060,4088836,4220142,4353184,4464963,4533801,4582989,4633915,4683715,4724329,4756896,4807668,4864960,4910254,4960305,5018244,5086348,5149609,5208355,5277691,5356449,5447049,5548177,5656990,5773237,5813811,6005245,6118687,6232464
"Labor force, total",SL.TLF.TOTL.IN,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,123110450,126804887,130434209,134144992,138130895,142074354,145637210,149143177,153168550,157479407,161905866,166453926,171252977,176200225,181192808,186341802,191244111,196182416,201315393,206162339,210331782,218114103,224642825,231548914,235779753,242052417,247774677,253147351,259925434,267075967,269800148,280467515,290047708,288482369
"Labor force, total",SL.TLF.TOTL.IN,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87224214,89714880,92282072,95087553,97911180,100826247,103696494,106670273,109821438,113078410,116232312,119424228,122420386,125676451,129005188,132417742,135863015,139330958,142786188,146272988,149821133,153728301,157555236,161243605,165025938,169141877,174014825,178116604,182865964,187757919,191963925,198080325,204126679,212022202
"Labor force, total",SL.TLF.TOTL.IN,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60630698,62431493,64648563,67171320,69736848,71642282,73631152,75666375,77723705,80936415,82970430,84625328,86089740,89064673,92147434,95402139,98960732,102880999,106016459,109374929,112965482,115872933,118209912,121507923,124383588,126263561,129257516,129744812,130730929,132764410,132739980,135835046,140858489,132270956
"Labor force, total",SL.TLF.TOTL.IN,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,831389,842208,854397,867191,876749,889248,898694,910340,921355,933636,947493,961174,975535,993241,1011525,1027334,1043859,1060963,1077647,1093695,1110057,1126324,1143477,1162465,1177156,1193198,1213115,1227978,1260405,1262492,1202194,1232477,1253807,1267116
"Labor force, total",SL.TLF.TOTL.IN,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49198415,49261714,49183755,49083419,49004050,48789638,48703996,48614617,48622637,48619887,48658373,48717015,48295587,48232923,48254729,48444312,48321851,48330518,48564225,48028250,48593323,48397841,48586019,48661146,48979937,49080827,48994542,49299795,49218939,49154512,48858110,48717552,48999477,49096984
"Labor force, total",SL.TLF.TOTL.IN,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,721500241,741784680,762332586,780351889,803078918,824343294,848778382,874146011,900413372,926794130,951350098,972092755,990634719,1012651600,1036424482,1057789042,1074428375,1094176973,1108571588,1125278174,1142661189,1161546290,1180804163,1200375332,1218578526,1240060845,1260098242,1280220807,1300683701,1321560475,1311687110,1350393770,1395217405,1429744380
"Labor force, total",SL.TLF.TOTL.IN,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,952886998,966133956,979761715,991015727,1005576980,1019192013,1033571150,1047826391,1061528910,1073647604,1086725108,1101650848,1114835539,1128838983,1143881368,1157299015,1170421947,1185127908,1194680082,1202679518,1210841766,1223225952,1230157442,1234052574,1241816428,1247470348,1251737608,1254039633,1260465175,1265306371,1249764931,1267053935,1268910553,1278817564
"Labor force, total",SL.TLF.TOTL.IN,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,846173976,857284302,869275465,879545508,892651715,905010185,917928677,930773283,944465231,956216982,968586556,982961035,995919325,1009875378,1024272169,1036882302,1049012929,1062688432,1071583454,1079368594,1086988655,1098796845,1105069532,1107895039,1114228929,1118844561,1121824790,1122799137,1127467913,1130943621,1115782103,1132728377,1133394615,1141780887
"Labor force, total",SL.TLF.TOTL.IN,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,833555646,844430806,856196068,866256131,879162201,891333582,904084806,916747625,930280985,941900919,954122589,968362946,981181634,994984685,1009213908,1021664708,1033619166,1047120226,1055860834,1063478815,1070934432,1082583758,1088701944,1091376815,1097564283,1102031857,1104894057,1105731145,1110272206,1113654538,1098683071,1115551281,1115888473,1124206815
"Labor force, total",SL.TLF.TOTL.IN,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,142971211,144750634,144420490,144568579,145208497,145332356,146341724,147165205,148253550,149564403,150408195,150612133,152515116,154612767,156096330,158144149,159973983,161302394,162768078,163028615,163232034,162829116,163995729,164536224,164880647,165258539,166008704,166704888,167447778,168041666,165939367,167763091,170412093,171816686
"Labor force, total",SL.TLF.TOTL.IN,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,386927634,389766163,389711061,386958724,387276157,387617610,388429241,388194381,389562958,396326450,397598227,397709639,401050080,403316770,405402394,409295508,412573399,415771053,419619929,421121261,423509450,425339416,427884068,429894633,431620499,433685961,436363527,438294293,440311845,440961474,435612335,439294265,424127350,426570193
"Labor force, total",SL.TLF.TOTL.IN,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85901524,87003141,87734913,87006362,88713727,89086107,89458300,89491044,90225191,91038681,90711944,91544581,92271117,92499297,91997232,92631706,93149773,93736366,94803148,96254466,97704375,99375175,100205218,101448042,102258015,103622105,104988252,106128778,107115644,107777515,105155381,106959656,88690028,89462580
"Labor force, total",SL.TLF.TOTL.IN,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,194647864,195761078,196128684,193423745,193190937,193197796,192574575,191268293,191423646,196405656,196531268,196176606,197135864,196992120,197331212,198597727,199322447,200831268,202624084,203631269,205626286,207392580,208251278,209276429,210133478,211223574,212447210,213272529,213986625,213676854,210340175,212432389,193854913,194132401
"Labor force, total",SL.TLF.TOTL.IN,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,189974047,191852508,191568442,191647391,192217103,192292563,193277767,194047174,195138941,196561215,197455292,197867077,199399392,201384295,202916721,205306690,207102420,208453930,210144939,209921078,210791142,210334344,211713254,212418829,213073298,213644045,214474822,215599870,216377224,217044247,214682151,216421860,219362874,220932746
"Labor force, total",SL.TLF.TOTL.IN,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,193442062,198308668,203354931,208671685,214639443,220798876,225865471,230832209,236386973,242294310,247975357,253524320,259066011,265046421,271213888,277496589,283659422,289958396,296178440,302661754,309413321,316714844,322969721,330198541,336606405,342260127,348836024,354993598,361686887,367498755,370074708,378037456,367593862,367406296
"Labor force, total",SL.TLF.TOTL.IN,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,140322377,144284125,148659947,153252652,158077593,162916875,167283992,171552980,176329250,181387917,186382115,191587454,197267255,203160813,209091762,215149146,220943381,226650361,232555500,238873208,245240889,253000984,260259933,267849537,273097033,279652927,286839865,293674100,302498848,310809131,314587759,326632569,336800257,335640077
"Labor force, total",SL.TLF.TOTL.IN,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,567481655,572936603,576694765,577866861,581066443,585072540,589937322,594520850,597783186,606985734,612359973,614236704,619294371,623510751,629223212,636448691,644051803,650945602,658068310,659815822,662558203,665327512,671043786,675429692,680108816,684888344,691255021,695753571,700408530,704752310,699481411,702822214,712310322,720293202
"Labor force, total",SL.TLF.TOTL.IN,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1539129444,1565058135,1591494884,1613708365,1640987715,1669343723,1695989806,1726600041,1758314112,1794045601,1824046709,1853024395,1881405659,1911723601,1944499469,1975943976,1998826321,2022330766,2039854449,2057640671,2072495095,2093951673,2112344692,2129597585,2149548977,2170156849,2188276324,2203802038,2220904678,2237290617,2200321271,2256688636,2267105613,2301994549
"Labor force, total",SL.TLF.TOTL.IN,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1858327316,1893428851,1929219656,1961120474,1998955608,2037275329,2075221056,2117218464,2160640583,2208018210,2249523367,2289956373,2329656085,2371713648,2416401757,2459522407,2493987738,2529763975,2559504630,2590694158,2619344118,2654625686,2685596766,2715219423,2744808354,2778283813,2809034446,2838710348,2870814700,2903160522,2877270294,2954471044,2984030522,3027888059
"Labor force, total",SL.TLF.TOTL.IN,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,104510863,108041960,111253086,114212943,117690563,120691530,124990063,129446265,133241127,137452418,141767412,145970221,149784146,153956296,158258915,162214540,166229147,170855160,175425774,180403956,185491088,190000426,195006186,199729946,203464145,209388043,213844890,217874873,222023269,227563428,232761747,240701872,246605947,254429392
"Labor force, total",SL.TLF.TOTL.IN,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,214687009,220328756,226471686,233199166,240277330,247240076,254241188,261172157,269085345,276520191,283709246,290961757,298466280,306033752,313643373,321363890,328932270,336578050,344224407,352649532,361357935,370673587,378245889,385891892,391795232,398738922,406913231,417033437,427886753,438306478,444187276,457080536,470318962,471464118
"Labor force, total",SL.TLF.TOTL.IN,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,319197872,328370716,337724772,347412109,357967894,367931607,379231251,390618422,402326472,413972609,425476657,436931978,448250426,459990048,471902288,483578431,495161417,507433209,519650181,533053488,546849023,560674013,573252074,585621838,595259377,608126965,620758121,634908310,649910022,665869906,676949023,697782408,716924909,725893510
"Labor force, total",SL.TLF.TOTL.IN,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,963567504,974556861,985713123,994910742,1004378952,1015903510,1025217000,1037655010,1049729603,1065241628,1076954675,1091111834,1106695192,1120993004,1136029673,1152023083,1164478323,1175362342,1185438088,1193975100,1198790865,1207779022,1212985146,1216263144,1222073274,1227673711,1230723319,1232550964,1234170033,1235787564,1213757736,1237748117,1233331448,1239806514
"Labor force, total",SL.TLF.TOTL.IN,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,172715307,177466300,182660151,188151328,193336101,198583631,201690272,208750288,214004077,218704983,222825205,227630111,232437697,237860675,244262077,250186683,255621392,259692610,263976320,269458602,272010094,275046113,280129303,283403421,286542808,291344573,295229738,299873001,304206293,308819332,292325402,306645986,314476446,317580182
"Labor force, total",SL.TLF.TOTL.IN,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,155493476,159635384,164267518,169260715,173982748,178673050,181249452,187804900,192593489,196984736,200758424,205168118,209747750,214781888,220466575,225788829,230499020,234139032,237862759,243098253,245055571,247601129,252365127,255331040,258128977,262684264,266339834,271008057,275728556,281109415,266480471,280569427,287483182,290065187
"Labor force, total",SL.TLF.TOTL.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,167002649,171669759,176824013,182249510,187388320,192596828,195613041,202590047,207796722,212438832,216539592,221292615,226061194,231429084,237783059,243616680,249009372,253075363,257373599,262769052,265402387,268464386,273536893,276802706,279943880,284737775,288629952,293298854,297672915,302297446,286070004,300409410,308103861,311249868
"Labor force, total",SL.TLF.TOTL.IN,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,191876905,197191451,202968953,209007117,215395125,221960545,228153909,234346539,240980666,247739001,254377340,261044848,267997921,275066817,282156756,289385263,296413350,303466514,310498039,318356707,326414227,335266175,343255824,351227784,357178674,363558948,371360371,381030200,391554654,401415468,407346250,419432367,431651360,432407346
"Labor force, total",SL.TLF.TOTL.IN,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1751104425,1785922757,1821798730,1855474208,1895054886,1933431345,1972127906,2015245776,2058997630,2102102844,2143005027,2184379019,2223804772,2266122929,2309482731,2351652048,2385430842,2420086501,2448701252,2480376011,2508009428,2542898300,2573724000,2603447749,2632830386,2666565839,2697365382,2727525344,2760393236,2794616681,2770788388,2847637113,2877142330,2919607629
"Labor force, total",SL.TLF.TOTL.IN,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,114076920,117145277,120590929,124009074,127463891,131160242,134703978,138105023,141826350,145838620,149735412,153638280,157935922,162412466,166953638,171614115,176196277,180876483,185650283,190635304,195839694,202474029,207559619,212698683,215485903,218717970,223184567,227880233,234141266,240498155,243727260,251404646,259471306,256611650
"Labor force, total",SL.TLF.TOTL.IN,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,614765179,631718576,648717515,666467437,685164879,704481606,725795117,747575929,769894775,793208975,815206433,835153026,853041749,872571528,892799303,912735008,926563383,941210493,954535538,969453595,984925604,1000000528,1014399047,1033881555,1052713844,1072388045,1091083314,1108636559,1127043895,1145940799,1151080461,1187729298,1224776854,1258217970
"Labor force, total",SL.TLF.TOTL.IN,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70222883,72424098,74849543,77158379,79486729,81457205,83530807,86069750,88687600,92567049,95334356,97752206,99772156,103458873,107566894,111883033,115682268,119611102,121772786,125662237,128949031,130992702,134451424,137620826,140551766,143214750,147146343,148433059,149614033,151543872,149888530,152921322,158055548,160749533
"Labor force, total",SL.TLF.TOTL.IN,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62320379,64249659,66142046,68006165,69935188,71529671,73236363,75367403,77562049,80945998,83031300,84861063,86263372,89215811,92544912,95997348,98718869,101283527,102071378,104783623,107343634,107940422,109515533,110883108,112400946,113229859,115595183,116713111,117882407,119298272,117072552,120310151,123366786,124578138
"Labor force, total",SL.TLF.TOTL.IN,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61906086,63816936,65692104,67535631,69442642,71014791,72693520,74803353,76987561,80356357,82413116,84279985,85674186,88557204,91871735,95291427,97986502,100497973,101265601,103943948,106463820,107000235,108538061,109872952,111353193,112105557,114445903,115531559,116684239,118043827,115879162,119008461,121975556,124578138
"Labor force, total",SL.TLF.TOTL.IN,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1637027505,1668777480,1701207801,1731465135,1767590995,1802271102,1837423928,1877140753,1917171280,1956264224,1993269616,2030740739,2065868850,2103710463,2142529093,2180037933,2209234566,2239210018,2263050969,2289740707,2312169734,2340424270,2366164381,2390749066,2417344483,2447847869,2474180815,2499645111,2526251970,2554118526,2527061129,2596232467,2617671024,2662995979
"Labor force, total",SL.TLF.TOTL.IN,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,142478544,143464542,145543893,147043356,149527709,151640858,153944141,156766971,158742914,161007619,163326810,164668371,166183826,167333986,168772982,170826613,173247550,174878429,176852461,177100743,177238242,177519515,178780492,179340535,180032142,181091890,183096385,184999057,186530912,188749949,187044880,188162284,190571971,193530484
"Labor force, total",SL.TLF.TOTL.IN,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Labor force, total",SL.TLF.TOTL.IN,OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,516568387,523528817,528631719,531810485,538996218,544245083,550883718,558164155,563025277,568457713,573087701,576794620,581554359,586802339,591392096,599067827,606742813,612342201,619259767,623770796,627618374,631512989,638015945,642515867,646791453,652085757,658747314,665488724,672507961,679328062,668740381,678619421,689635889,698997022
"Labor force, total",SL.TLF.TOTL.IN,Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3692280,3735914,3746457,3756967,3795744,3823506,3871262,3942435,4004651,4025836,4067157,4156831,4263169,4419940,4500408,4608478,4749500,4873199,4996224,5110156,5226924,5262804,5343305,5456072,5558293,5682228,5800197,5949940,6043162,6145788,6105212,6186686,6354337,6485626
"Labor force, total",SL.TLF.TOTL.IN,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,586592,598464,608920,620108,631276,642307,654458,668801,684336,700012,716212,731126,745506,758556,771219,775556,795322,811570,826099,839961,854562,875737,882612,888637,894896,905865,916293,931140,944192,955494,957855,973686,997524,1015779
"Labor force, total",SL.TLF.TOTL.IN,Post-demographic dividend,PST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,466898405,471507347,474563714,476749576,480900347,484257214,489136708,494172950,497123489,501297917,505252617,507459569,511290122,514609098,518219651,523301554,528968484,533296024,537768668,538739005,539499892,540121718,543451932,545833376,548577333,551363527,555654772,559806528,564020998,568303367,563224170,565735685,552110293,558292177
"Labor force, total",SL.TLF.TOTL.IN,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,165647468,170167695,175114254,180710537,187159118,193536602,198593880,203611039,209450335,215714433,221936963,228319736,234869361,241801456,248739193,255921161,262764233,269343950,276234073,283588678,291052121,300283280,309017145,317909951,325252704,333913559,343649270,351796457,362237188,372931709,379967043,395015755,407525669,410821329
"Labor force, total",SL.TLF.TOTL.IN,Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5110262,5176586,5209774,5244267,5303769,5355061,5424414,5521577,5610342,5659483,5730862,5849131,5984209,6171737,6283153,6411368,6588681,6745732,6899970,7043812,7191544,7264865,7369394,7507174,7630345,7781291,7929605,8109058,8247758,8363774,8265262,8392848,8605667,8768520
"Labor force, total",SL.TLF.TOTL.IN,South Asia,SAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,390880407,401230504,411662507,422422913,433729433,446231731,460921410,475995696,491161681,506358629,521778625,533966067,545929843,557873878,570003848,581592319,586943125,592725771,598278932,604435747,610764278,617342324,624370529,635098001,645007828,656990755,666827820,679612306,689407317,700653972,704533809,728521662,750033333,773216266
"Labor force, total",SL.TLF.TOTL.IN,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,390880407,401230504,411662507,422422913,433729433,446231731,460921410,475995696,491161681,506358629,521778625,533966067,545929843,557873878,570003848,581592319,586943125,592725771,598278932,604435747,610764278,617342324,624370529,635098001,645007828,656990755,666827820,679612306,689407317,700653972,704533809,728521662,750033333,773216266
"Labor force, total",SL.TLF.TOTL.IN,Sub-Saharan Africa,SSF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,210334664,216519767,222716280,229232545,236042075,242900600,249333704,255813450,262989988,270557817,278138178,285878154,293673363,301876676,310197996,318759545,327107126,335513374,344101581,352435327,360152915,371842404,382198061,392792519,400805692,411194294,421789502,431263955,442791397,454833886,461764073,478547841,494174387,500504571
"Labor force, total",SL.TLF.TOTL.IN,Sub-Saharan Africa (excluding high income),SSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,210334664,216519767,222716280,229232545,236042075,242900600,249333704,255813450,262989988,270557817,278138178,285878154,293673363,301876676,310197996,318759545,327107126,335513374,344101581,352435327,360152915,371842404,382198061,392792519,400805692,411194294,421789502,431263955,442791397,454833886,461764073,478547841,494174387,500504571
"Labor force, total",SL.TLF.TOTL.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,210334664,216519767,222716280,229232545,236042075,242900600,249333704,255813450,262989988,270557817,278138178,285878154,293673363,301876676,310197996,318759545,327107126,335513374,344101581,352435327,360152915,371842404,382198061,392792519,400805692,411194294,421789502,431263955,442791397,454833886,461764073,478547841,494174387,500504571
"Labor force, total",SL.TLF.TOTL.IN,Upper middle income,UMC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1022262326,1037058904,1052490286,1064997698,1082426116,1097789497,1111628811,1129564823,1147276506,1163055249,1178063183,1195587714,1212827102,1231138935,1249729790,1267302925,1282671183,1297999526,1308515431,1320287112,1327244130,1340423742,1351765334,1356867512,1364630638,1375459823,1383097501,1391008552,1399208074,1408177727,1375980667,1408503169,1392894170,1404778009
"Labor force, total",SL.TLF.TOTL.IN,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2326446436,2367005330,2406905150,2441982973,2484975185,2527623648,2571420725,2619416926,2666678128,2719170149,2765726509,2809255397,2853882505,2900559842,2950087558,2999842717,3041596806,3083320247,3119282091,3152893436,3183465776,3221308425,3257971318,3292202509,3326377163,3364992571,3402190924,3436515304,3473326973,3510868855,3480933959,3561147295,3600349587,3650968792
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.07,8.011,7.888,7.822,7.817,7.867,7.863,7.89,7.903,7.935,7.953,7.93,7.88,7.899,7.885,7.914,7.817,7.878,7.754,7.753,7.784,7.856,7.93,7.915,9.052,10.133,11.184,11.196,11.185,11.71,11.994,14.1,13.991
